NC_001319	IntegerElement(56867, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Marchantiophyta; Marchantiopsida; Marchantiidae; Marchantiales; Marchantiaceae; Marchantia; Marchantia paleacea
NC_066060	IntegerElement(2939659, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia angusta
NC_066061	IntegerElement(2974002, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia flexistyla
NC_066062	IntegerElement(2974001, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia crispa
NC_066063	IntegerElement(2974003, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia javanica
NC_066064	IntegerElement(2974004, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia peichatieniana
NC_066065	IntegerElement(2974005, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia shimizuana
NC_066066	IntegerElement(2974007, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; unclassified Gastrodia; Gastrodia sp. Jin 38054
NC_066067	IntegerElement(2974006, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia uraiensis
NC_066068	IntegerElement(2848458, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Didymoplexis; Didymoplexis pallens
NC_066069	IntegerElement(2587350, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia menghaiensis
NC_066651	IntegerElement(77547, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Sphaeropleales; Scenedesmaceae; Desmodesmus; Desmodesmus abundans
NC_066970	IntegerElement(76313, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Ulvophyceae; TCBD clade; Bryopsidales; Halimedineae; Caulerpaceae; Caulerpa; Caulerpa taxifolia
NC_068622	IntegerElement(52028, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Chlamydomonadales; Haematococcaceae; Chlorogonium; Chlorogonium euchlorum
NC_072054	IntegerElement(2917549, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Orchidoideae; Cranichideae; Goodyerinae; Danhatchia; Danhatchia australis
NC_072110	IntegerElement(2023981, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Scutellarioideae; Scutellaria; Scutellaria tenax
NC_072114	IntegerElement(2023987, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lamiaceae; Scutellarioideae; Scutellaria; Scutellaria yunnanensis
NC_080538	IntegerElement(502515, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Violaceae; Viola; Viola subgen. Viola; Viola sect. Viola; Viola subsect. Rostratae; Viola labradorica
NC_080971	IntegerElement(51498, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Mitrastemonaceae; Mitrastemon; Mitrastemon yamamotoi
NC_080991	IntegerElement(2510903, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Magnoliidae; Piperales; Piperaceae; Peperomia; Peperomia cookiana
NC_080992	IntegerElement(2510918, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Magnoliidae; Piperales; Piperaceae; Peperomia; Peperomia latifolia
NC_082115	IntegerElement(1499945, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; Liliopsida; Petrosaviidae; Asparagales; Orchidaceae; Epidendroideae; Gastrodieae; Gastrodia; Gastrodia pubilabiata
NC_086752	IntegerElement(113534, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Sphaeropleales; Scenedesmaceae; Tetradesmus; Tetradesmus reginae
NC_086753	IntegerElement(113531, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Sphaeropleales; Scenedesmaceae; Tetradesmus; Tetradesmus distendus
NC_086754	IntegerElement(119574, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Sphaeropleales; Scenedesmaceae; Tetradesmus; Tetradesmus dimorphus
NC_086755	IntegerElement(269609, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Sphaeropleales; Scenedesmaceae; Tetradesmus; Tetradesmus bajacalifornicus
NC_086756	IntegerElement(2291721, attributes={})	cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Sphaeropleales; Scenedesmaceae; Tetradesmus; Tetradesmus arenicola
